Year,NUTS 2 Region,"Compensation of Employees (Million)",Current Taxes on Income (Million),Disposable Household Income (Million),Disposable Income per Person (Euro),Disposable Income per Person (excluding Rent) (Euro),Index of Disposable Income per Person (State100),Index of Disposable Income per Person (excluding Rent) (State100),Index of Total Income per Person (State100),Rent of dwellings (Million),Total Household Income (Million),Total Income per Person (Euro)
2014,Eastern and Midland,41611.18,23636.15,40361.61,18015.5,16413.23,98.72,46.91,106.99,3589.69,63997.76,28565.55
2014,Ireland,76019.28,39320.23,84899.19,18248.23,16848.99,100.0,100.0,100.0,6509.95,124219.42,26699.73
2014,Northern and Western,11090.48,4886.56,14850.63,17490.51,16345.64,95.85,17.7,87.06,972.07,19737.19,23245.72
2014,Southern,23317.62,10797.52,29686.95,18993.45,17747.02,104.08,35.39,97.01,1948.18,40484.47,25901.6
2015,Eastern and Midland,44490.29,25006.63,43140.0,19078.03,17298.34,99.58,47.32,107.7,4024.31,68146.63,30136.85
2015,Ireland,80874.94,41439.6,89960.96,19157.86,17603.23,100.0,100.0,100.0,7300.2,131400.56,27982.73
2015,Northern and Western,11689.94,5135.14,15545.97,18140.57,16867.53,94.69,17.49,86.24,1090.96,20681.11,24132.76
2015,Southern,24694.72,11297.83,31275.0,19824.9,18439.9,103.48,35.19,96.44,2184.93,42572.83,26986.48
2016,Eastern and Midland,47593.13,25523.5,46127.43,20155.84,18219.24,101.31,47.92,108.68,4431.98,71650.93,31308.59
2016,Ireland,86257.55,42360.93,94553.66,19895.71,18309.99,100.0,100.0,100.0,7536.1,136914.59,28809.18
2016,Northern and Western,12437.27,5301.59,15976.41,18420.47,17266.91,92.59,17.21,85.16,1000.51,21278.0,24533.09
2016,Southern,26227.15,11535.84,32449.82,20324.24,19006.69,102.15,34.87,95.63,2103.61,43985.65,27549.46
2017,Eastern and Midland,51060.68,27259.01,49308.34,21239.11,19161.28,101.55,48.02,108.88,4823.86,76567.34,32980.67
2017,Ireland,92268.18,45199.51,100829.1,20914.2,19215.48,100.0,100.0,100.0,8189.7,146028.61,30289.59
2017,Northern and Western,13237.8,5638.88,16881.98,19187.53,17954.33,91.74,17.05,84.51,1085.02,22520.86,25596.5
2017,Southern,27969.71,12301.62,34638.79,21386.47,19978.26,102.26,34.93,95.68,2280.82,46940.41,28981.66
2018,Eastern and Midland,54529.03,28745.7,51998.03,22080.17,19814.13,102.79,48.6,109.64,5336.43,80743.72,34286.59
2018,Ireland,98206.56,47885.88,105047.79,21480.38,19631.02,100.0,100.0,100.0,9044.1,152933.68,31272.18
2018,Northern and Western,14026.49,5994.4,17571.3,19687.9,18347.68,91.66,17.06,84.43,1196.13,23565.71,26404.37
2018,Southern,29651.04,13145.78,35478.46,21594.38,20065.71,100.53,34.34,94.64,2511.53,48624.24,29595.71
2019,Eastern and Midland,59232.9,30661.75,56575.51,23306.14,20817.83,102.6,49.24,108.97,6040.38,87237.26,35937.18
2019,Ireland,106113.02,50976.97,112840.0,22715.83,20658.49,100.0,100.0,100.0,10219.77,163816.97,32978.01
2019,Northern and Western,15082.83,6344.49,18660.02,21105.08,19578.94,92.91,16.87,85.76,1349.34,25004.51,28280.91
2019,Southern,31797.29,13970.73,37604.48,22710.48,21001.32,99.98,33.89,94.45,2830.06,51575.21,31147.83
2020,Eastern and Midland,59030.56,29834.0,59517.09,24191.78,21634.11,102.3,49.09,108.16,6292.44,89351.09,36318.34
2020,Ireland,105800.86,50002.31,119053.26,23647.81,21536.47,100.0,100.0,100.0,10629.43,169055.58,33579.88
2020,Northern and Western,15015.85,6254.01,20119.16,22452.73,20889.24,94.95,17.26,87.65,1401.0,26373.17,29432.13
2020,Southern,31754.44,13914.3,39417.01,23488.46,21738.91,99.33,33.65,94.64,2936.0,53331.32,31779.95
2021,Eastern and Midland,65494.7,35274.24,63396.11,25421.39,22453.75,103.58,49.23,109.41,7400.75,98670.35,39566.12
2021,Ireland,116964.17,59167.37,124967.2,24542.6,22338.71,100.0,100.0,100.0,11221.86,184134.57,36162.62
2021,Northern and Western,16573.98,7535.73,20427.84,22607.45,21217.18,92.12,16.85,85.58,1256.23,27963.57,30947.23
2021,Southern,34895.48,16357.39,41143.25,24281.19,22767.49,98.93,33.92,93.84,2564.89,57500.65,33934.7
2022,Eastern and Midland,72295.21,38710.68,68758.63,26803.62,23613.29,103.19,49.45,109.07,8184.09,107469.32,41893.9
2022,Ireland,128197.82,64652.15,135065.68,25975.44,23559.0,100.0,100.0,100.0,12564.86,199717.83,38409.15
2022,Northern and Western,17969.52,8282.61,21820.73,23865.06,22275.98,91.88,16.63,85.72,1452.95,30103.34,32923.65
2022,Southern,37933.08,17658.85,44486.32,25862.12,24160.03,99.56,33.93,94.06,2927.82,62145.18,36128.09
2023,Eastern and Midland,79716.36,41480.62,76850.45,29201.61,25328.38,102.93,49.57,108.8,10193.25,118331.07,44963.4
2023,Ireland,141941.44,68621.27,150245.9,28370.41,25389.45,100.0,100.0,100.0,15786.78,218867.17,41327.93
2023,Northern and Western,20040.13,8642.66,24225.73,26256.02,24220.55,92.55,16.62,86.2,1878.07,32868.39,35623.0
2023,Southern,42184.95,18497.99,49169.72,28234.57,26101.05,99.52,33.81,94.02,3715.46,67667.71,38856.6
