Year,NUTS 2 Region,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Million)",Current Taxes on Income (Million),Disposable Household Income (Million),Disposable Income per Person (Euro),Disposable Income per Person (excluding Rent) (Euro),Index of Disposable Income per Person (State100),Index of Disposable Income per Person (excluding Rent) (State100),Index of Total Income per Person (State100),Rent of dwellings (including imputed rent of owner-occupied dwellings) (Million),Total Household Income (Million),Total Income per Person (Euro)
2000,Eastern & Midland,23144.07,11861.73,23233.55,12873.23,11863.41,102.58,48.05,110.73,1822.52,35095.28,19445.58
2000,Ireland,42023.36,19066.96,47739.92,12549.09,11713.17,100.0,100.0,100.0,3180.03,66806.88,17561.1
2000,Northern & Western,5945.04,2240.21,7965.59,11533.87,10874.85,91.91,16.85,84.15,455.13,10205.8,14777.61
2000,Southern,12934.25,4965.02,16540.78,12637.81,11948.36,100.71,35.1,93.57,902.38,21505.8,16431.28
2001,Eastern & Midland,25819.84,12795.37,26760.07,14592.59,13382.46,102.73,48.09,110.69,2219.14,39555.44,21570.05
2001,Ireland,46881.83,20406.51,54886.24,14205.27,13206.5,100.0,100.0,100.0,3859.05,75292.75,19486.74
2001,Northern & Western,6632.37,2368.28,9126.78,13030.78,12248.97,91.73,16.81,84.22,547.58,11495.06,16412.1
2001,Southern,14429.62,5242.86,18999.39,14289.76,13468.21,100.59,35.09,93.57,1092.32,24242.25,18233.01
2002,Eastern & Midland,27563.47,13263.51,28575.84,15284.51,13931.44,102.09,47.8,110.78,2529.69,41839.34,22378.83
2002,Ireland,50047.8,20561.66,58868.09,14972.11,13857.35,100.0,100.0,100.0,4383.05,79429.74,20201.62
2002,Northern & Western,7080.26,2313.54,9757.44,13672.23,12808.07,91.32,16.78,83.73,616.73,12070.98,16913.99
2002,Southern,15404.07,4984.61,20534.81,15226.91,14309.92,101.7,35.42,93.67,1236.63,25519.41,18923.08
2003,Eastern & Midland,29991.33,14424.17,30555.8,16062.5,14809.74,101.69,47.76,110.14,2383.12,44979.97,23644.96
2003,Ireland,54456.14,22676.77,63132.72,15795.05,14756.8,100.0,100.0,100.0,4149.89,85809.49,21468.5
2003,Northern & Western,7703.91,2586.18,10433.54,14335.86,13528.8,90.76,16.69,83.33,587.38,13019.72,17889.31
2003,Southern,16760.9,5666.43,22143.37,16199.77,15336.95,102.56,35.54,94.77,1179.39,27809.8,20345.25
2004,Eastern & Midland,32557.59,16107.38,32493.73,16796.16,15736.24,101.24,47.65,109.67,2050.52,48601.11,25122.14
2004,Ireland,59115.76,25688.4,67481.53,16591.05,15709.18,100.0,100.0,100.0,3586.87,93169.93,22906.81
2004,Northern & Western,8363.1,3008.77,11108.73,14961.42,14274.2,90.18,16.59,83.0,510.26,14117.49,19013.68
2004,Southern,18195.07,6572.26,23879.06,17175.95,16437.89,103.53,35.77,95.62,1026.09,30451.32,21903.3
2005,Eastern & Midland,36182.13,17767.38,35760.85,18030.23,17150.96,101.61,48.08,109.18,1743.94,53528.23,26988.35
2005,Ireland,65696.95,29012.53,73816.23,17744.25,17007.87,100.0,100.0,100.0,3063.35,102828.76,24718.4
2005,Northern & Western,9294.14,3548.95,11907.2,15705.64,15128.16,88.51,16.21,82.48,437.82,15456.15,20386.71
2005,Southern,20220.68,7696.2,26148.18,18433.98,17812.47,103.89,35.71,96.53,881.59,33844.38,23859.66
2006,Eastern & Midland,39786.83,20097.04,38039.18,18626.35,17818.47,100.75,47.87,109.19,1649.86,58136.22,28467.1
2006,Ireland,72242.12,32379.8,78939.02,18487.66,17804.82,100.0,100.0,100.0,2915.59,111318.81,26071.06
2006,Northern & Western,10220.09,3792.71,12910.91,16631.05,16090.41,89.96,16.43,82.53,419.71,16703.62,21516.59
2006,Southern,22235.19,8490.05,27988.93,19285.62,18702.67,104.32,35.7,96.41,846.03,36478.98,25135.65
2007,Eastern & Midland,43519.51,21800.01,41809.97,19784.49,18527.73,100.87,47.99,108.51,2655.88,63609.98,30100.27
2007,Ireland,79019.65,35753.85,86308.3,19614.7,18542.21,100.0,100.0,100.0,4719.17,122062.15,27740.24
2007,Northern & Western,11178.9,4399.74,14167.54,17790.39,16921.15,90.7,16.52,84.05,692.23,18567.28,23315.21
2007,Southern,24321.23,9554.1,30330.79,20348.65,19428.82,103.74,35.49,96.46,1371.06,39884.89,26758.41
2008,Eastern & Midland,44705.28,21116.34,45236.65,20930.83,19164.23,100.75,47.85,108.57,3818.06,66352.99,30701.28
2008,Ireland,81172.69,33736.52,93401.98,20774.31,19252.56,100.0,100.0,100.0,6841.85,127138.51,28277.94
