Year,NUTS 2 Region,UNIT,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",Current Taxes on Income,Disposable Household Income,Disposable Income per Person,Disposable Income per Person (excluding Rent),Index of Disposable Income per Person,Index of Disposable Income per Person (excluding Rent),Index of Total Income per Person,Rent of dwellings (including imputed rent of owner-occupied dwellings),Total Household Income,Total Income per Person
2000,Eastern & Midland,Euro,,,,12873.23,11863.41,,,,,,19445.58
2000,Eastern & Midland,Euro Million,23144.07,11861.73,23233.55,,,,,,1822.52,35095.28,
2000,Eastern & Midland,State=100,,,,,,102.58,48.05,110.73,,,
2000,Ireland,Euro,,,,12549.09,11713.17,,,,,,17561.1
2000,Ireland,Euro Million,42023.36,19066.96,47739.92,,,,,,3180.03,66806.88,
2000,Ireland,State=100,,,,,,100.0,100.0,100.0,,,
2000,Northern & Western,Euro,,,,11533.87,10874.85,,,,,,14777.61
2000,Northern & Western,Euro Million,5945.04,2240.21,7965.59,,,,,,455.13,10205.8,
2000,Northern & Western,State=100,,,,,,91.91,16.85,84.15,,,
2000,Southern,Euro,,,,12637.81,11948.36,,,,,,16431.28
2000,Southern,Euro Million,12934.25,4965.02,16540.78,,,,,,902.38,21505.8,
2000,Southern,State=100,,,,,,100.71,35.1,93.57,,,
2001,Eastern & Midland,Euro,,,,14592.59,13382.46,,,,,,21570.05
2001,Eastern & Midland,Euro Million,25819.84,12795.37,26760.07,,,,,,2219.14,39555.44,
2001,Eastern & Midland,State=100,,,,,,102.73,48.09,110.69,,,
2001,Ireland,Euro,,,,14205.27,13206.5,,,,,,19486.74
2001,Ireland,Euro Million,46881.83,20406.51,54886.24,,,,,,3859.05,75292.75,
2001,Ireland,State=100,,,,,,100.0,100.0,100.0,,,
2001,Northern & Western,Euro,,,,13030.78,12248.97,,,,,,16412.1
2001,Northern & Western,Euro Million,6632.37,2368.28,9126.78,,,,,,547.58,11495.06,
2001,Northern & Western,State=100,,,,,,91.73,16.81,84.22,,,
2001,Southern,Euro,,,,14289.76,13468.21,,,,,,18233.01
2001,Southern,Euro Million,14429.62,5242.86,18999.39,,,,,,1092.32,24242.25,
2001,Southern,State=100,,,,,,100.59,35.09,93.57,,,
2002,Eastern & Midland,Euro,,,,15284.51,13931.44,,,,,,22378.83
2002,Eastern & Midland,Euro Million,27563.47,13263.51,28575.84,,,,,,2529.69,41839.34,
2002,Eastern & Midland,State=100,,,,,,102.09,47.8,110.78,,,
2002,Ireland,Euro,,,,14972.11,13857.35,,,,,,20201.62
2002,Ireland,Euro Million,50047.8,20561.66,58868.09,,,,,,4383.05,79429.74,
2002,Ireland,State=100,,,,,,100.0,100.0,100.0,,,
2002,Northern & Western,Euro,,,,13672.23,12808.07,,,,,,16913.99
2002,Northern & Western,Euro Million,7080.26,2313.54,9757.44,,,,,,616.73,12070.98,
2002,Northern & Western,State=100,,,,,,91.32,16.78,83.73,,,
2002,Southern,Euro,,,,15226.91,14309.92,,,,,,18923.08
2002,Southern,Euro Million,15404.07,4984.61,20534.81,,,,,,1236.63,25519.41,
2002,Southern,State=100,,,,,,101.7,35.42,93.67,,,
2003,Eastern & Midland,Euro,,,,16062.5,14809.74,,,,,,23644.96
2003,Eastern & Midland,Euro Million,29991.33,14424.17,30555.8,,,,,,2383.12,44979.97,
2003,Eastern & Midland,State=100,,,,,,101.69,47.76,110.14,,,
2003,Ireland,Euro,,,,15795.05,14756.8,,,,,,21468.5
2003,Ireland,Euro Million,54456.14,22676.77,63132.72,,,,,,4149.89,85809.49,
2003,Ireland,State=100,,,,,,100.0,100.0,100.0,,,
2003,Northern & Western,Euro,,,,14335.86,13528.8,,,,,,17889.31
2003,Northern & Western,Euro Million,7703.91,2586.18,10433.54,,,,,,587.38,13019.72,
2003,Northern & Western,State=100,,,,,,90.76,16.69,83.33,,,
2003,Southern,Euro,,,,16199.77,15336.95,,,,,,20345.25
2003,Southern,Euro Million,16760.9,5666.43,22143.37,,,,,,1179.39,27809.8,
2003,Southern,State=100,,,,,,102.56,35.54,94.77,,,
2004,Eastern & Midland,Euro,,,,16796.16,15736.24,,,,,,25122.14
2004,Eastern & Midland,Euro Million,32557.59,16107.38,32493.73,,,,,,2050.52,48601.11,
2004,Eastern & Midland,State=100,,,,,,101.24,47.65,109.67,,,
2004,Ireland,Euro,,,,16591.05,15709.18,,,,,,22906.81
2004,Ireland,Euro Million,59115.76,25688.4,67481.53,,,,,,3586.87,93169.93,
2004,Ireland,State=100,,,,,,100.0,100.0,100.0,,,
2004,Northern & Western,Euro,,,,14961.42,14274.2,,,,,,19013.68
2004,Northern & Western,Euro Million,8363.1,3008.77,11108.73,,,,,,510.26,14117.49,
